region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
msk,"Москва, улица Ефремова, 10с1к4/2",110000000,77.2,empty,empty,2,7,12,empty,empty,empty,monolith,underground,empty,empty,37.574651,55.72559,1,1,"Фрунзенская,Спортивная,Лужники","7,9,12","walk,walk,walk","Хамовники,ЦАО",0,1
msk,"Россия, г. Москва, Софийская наб., д. 34",116050183,60.8,empty,empty,1,7,8,empty,empty,empty,empty,empty,empty,empty,37.622783,55.747287,empty,empty,"Третьяковская,Новокузнецкая","11,11","walk,walk","Якиманка,ЦАО",1,1
msk,"Москва, ул. 2-я Звенигородская, д.11",135000000,122.6,7.0,67.0,4,8,18,empty,empty,empty,monolithBrick,underground,empty,empty,37.554214,55.761538,1,empty,Улица 1905 года,11,walk,"Пресненский,ЦАО",0,1
msk,"Москва, Большая Татарская, дом 7к1",148000000,150.0,empty,empty,3,8,10,2011,empty,empty,empty,empty,empty,empty,37.63376,55.742205,empty,empty,Новокузнецкая,3,walk,"Замоскворечье,ЦАО",empty,1
msk,"Россия, г. Москва, Милютинский пер., д. 3",150000000,133.8,empty,empty,3,4,8,empty,empty,empty,empty,empty,empty,empty,37.631469,55.761578,empty,empty,"Лубянка,Тургеневская,Кузнецкий мост","4,7,8","walk,walk,walk","Красносельский,ЦАО",0,1
msk,"Москва, САО, р-н Беговой, Ленинградский просп., 29к1",150000000,125.0,10.0,89.0,4,5,19,empty,empty,empty,monolithBrick,underground,empty,empty,37.564033,55.785169,2,empty,"Динамо,Белорусская,Беговая","7,3,4","walk,transport,transport","Беговой,САО",0,1
msk,"Россия, Москва, Минская улица, 2Вк1",185000000,180.0,empty,empty,4,3,10,2019,empty,empty,empty,empty,empty,1,37.506765,55.716002,0,0,"Минская,Минская,Ломоносовский проспект","14,14,18","walk,walk,walk","Раменки,ЗАО",0,1
msk,"Москва, 3-й Кадашевский переулок, 7/9с1",195000000,160.0,10.0,140.0,3,3,3,empty,empty,empty,brick,underground,empty,empty,37.623196,55.741678,1,empty,Третьяковская,4,walk,"Якиманка,ЦАО",1,1
msk,"Москва, Мосфильмовская улица, 8",194800000,163.0,20.0,115.0,3,47,54,empty,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,2,1,"Минская,Ломоносовский проспект,Раменки","4,4,5","transport,transport,transport","Раменки,ЗАО",0,1
msk,"Россия, Москва, Минская улица, 2Вк1",216500000,199.0,empty,empty,4,4,10,2019,empty,empty,empty,underground,empty,0,37.506765,55.716002,0,0,"Минская,Минская,Ломоносовский проспект","14,14,18","walk,walk,walk","Раменки,ЗАО",0,1
msk,"Москва, Петровский переулок, 5с4",230000000,321.7,empty,empty,6,5,5,empty,empty,empty,empty,empty,empty,1,37.612892,55.767104,empty,empty,"Чеховская,Пушкинская,Трубная","4,4,9","walk,walk,walk","Тверской,ЦАО",0,1
msk,"Москва, Саввинская набережная, 27",249950000,165.5,empty,empty,4,2,6,empty,0,2024,monolith,underground,without,1,37.557942,55.730669,1,empty,"Спортивная,Лужники,Фрунзенская","12,16,3","walk,walk,transport","Хамовники,ЦАО",1,1
msk,"Москва, улица Малая Молчановка, д.8",265500000,161.6,14.0,115.0,4,2,7,1913,empty,empty,empty,ground,empty,empty,37.592384,55.754497,empty,empty,Арбатская,10,walk,"Арбат,ЦАО",0,1
msk,"Москва, Погодинская улица, 4",300000000,204.0,empty,empty,4,4,14,2014,empty,empty,monolith,underground,empty,1,37.571013,55.734973,1,1,"Фрунзенская,Киевская,Спортивная","16,18,3","walk,walk,transport","Хамовники,ЦАО",0,1
msk,"Москва, 2-я Звенигородская, дом 12с19",330000000,237.0,empty,175.0,4,15,15,2023,empty,empty,empty,empty,empty,empty,37.556568,55.762039,empty,empty,Улица 1905 года,7,walk,"Пресненский,ЦАО",empty,1
