region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
kzn,"Республика Татарстан, Казань, улица Алексея Козина",57208185,112.22,empty,empty,3,18,28,empty,0,2025,monolith,empty,without,empty,49.1425905258247,55.8121643119849,2,1,"Козья слобода,Кремлёвская,Площадь Тукая","4,4,5","transport,transport,transport",Ново-Савиновский,0,0
kzn,"Татарстан,Казань,Московский, Гудованцева, 5",2500000,16.3,empty,empty,1,2,2,1974,empty,empty,empty,empty,empty,0,49.018181,55.863151,0,0,,,,"Жилплощадка,Московский",empty,0
kzn,"Татарстан,Казань,Авиастроительный, Академика Павлова, 11",3449000,33.0,empty,empty,1,1,9,1981,empty,empty,empty,empty,empty,1,49.101716,55.863773,1,0,,,,"Караваево,Авиастроительный",empty,0
kzn,"Россия, Республика Татарстан, Казань, посёлок Дербышки, Советская улица, 15/10",4590000,42.7,empty,empty,2,1,3,1951,empty,empty,brick,ground,empty,empty,49.227606,55.869445,empty,empty,"Суконная слобода,Горки,Площадь Тукая","18,19,20","transport,transport,transport","Дербышки,Советский",0,0
kzn,"Татарстан,Казань,Приволжский, Братьев Касимовых, 78",5350000,30.0,empty,empty,1,5,5,1973,empty,empty,empty,empty,empty,1,49.212227,55.755773,0,0,,,,"Горки-1,Приволжский",empty,0
kzn,"Татарстан,Казань,Авиастроительный, Тэцевская, 4в",5600000,37.0,empty,empty,1,7,7,2021,empty,empty,empty,empty,empty,1,49.063304,55.852829,1,1,,,,"Соцгород,Авиастроительный",empty,0
kzn,"Татарстан,Казань,Приволжский, Детский проезд, 5",5750000,33.6,empty,empty,1,9,19,2023,empty,empty,empty,empty,empty,1,49.200557,55.679686,1,1,,,,Приволжский,empty,0
kzn,"Россия, Республика Татарстан, Казань, улица Нурсултана Назарбаева, 74",5750000,32.0,empty,19.1,1,1,5,1966,empty,empty,panel,empty,empty,0,49.133139,55.770851,empty,empty,"Суконная слобода,Площадь Тукая","7,5","walk,transport","Суконная слобода,Вахитовский",0,0
kzn,"Республика Татарстан, Казань, Южно-Промышленная улица",6001000,34.8,empty,empty,1,5,18,empty,0,2026,monolithBrick,empty,empty,empty,49.12177333083945,55.71736632804304,empty,7,"Аметьево,Горки,Проспект Победы","9,10,10","transport,transport,transport",Приволжский,0,0
kzn,"Республика Татарстан, Казань, Южно-Промышленная улица",6490000,37.7,empty,empty,1,5,18,empty,0,2026,monolithBrick,empty,empty,empty,49.12177333083945,55.71736632804304,empty,7,"Аметьево,Горки,Проспект Победы","9,10,10","transport,transport,transport",Приволжский,0,0
kzn,"Россия, Республика Татарстан, Казань, улица Братьев Батталовых, 20Ак2",6400000,32.0,3.0,empty,1,24,25,2022,empty,empty,empty,ground,empty,0,49.184684,55.722872,0,0,"Проспект Победы,Горки,Дубравная","10,12,12","transport,transport,transport",Приволжский,0,0
kzn,"Республика Татарстан, Казань, улица Владимира Кулагина",6500000,26.07,5.2,13.5,1,2,20,empty,0,2026,monolith,empty,empty,empty,49.1437842475,55.73695001,6,12,"Аметьево,Горки,Проспект Победы","5,6,6","transport,transport,transport","Теплоконтроль,Приволжский",0,0
kzn,"Республика Татарстан, Казань, Детский проезд, 8",6548000,44.6,empty,empty,2,3,19,empty,1,2023,monolith,empty,empty,empty,49.199794,55.678352,1,1,"Дубравная,Проспект Победы,Горки","11,12,14","transport,transport,transport",Приволжский,0,0
kzn,"Республика Татарстан, Казань, улица Владимира Кулагина",6560000,26.81,5.2,14.1,1,1,20,empty,0,2026,monolith,empty,empty,empty,49.1437842475,55.73695001,6,12,"Аметьево,Горки,Проспект Победы","5,6,6","transport,transport,transport","Теплоконтроль,Приволжский",0,0
kzn,"Татарстан,Казань,Приволжский, Рауиса Гареева, 113",6600000,32.0,empty,empty,1,15,19,2022,empty,empty,empty,empty,empty,1,49.175773,55.723891,1,1,,,,Приволжский,empty,0
