region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
nsk,"Новосибирская обл., г. Новосибирск, ул. Узловая, 8/1",5350000,52.1,empty,32.0,1,5,9,empty,empty,empty,empty,empty,empty,empty,82.992097,55.028362,empty,empty,,,,Октябрьский,empty,1
nsk,"Новосибирск, Железнодорожный район, Прибрежная улица, 4/2",7600000,41.7,empty,16.1,1,5,24,empty,0,2025,monolithBrick,empty,empty,empty,82.889599,55.030504,empty,empty,"Площадь Гарина-Михайловского,Площадь Ленина,Красный Проспект","12,3,3","walk,transport,transport","Прибрежный,Железнодорожный",0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Немировича-Данченко, 148/2",7300000,42.4,empty,12.0,1,1,17,empty,empty,empty,empty,empty,empty,empty,82.917043,54.991057,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Семьи Шамшиных, с91",11230000,78.28,empty,empty,3,15,17,empty,0,2026,monolith,empty,empty,empty,82.9250394305444,55.0480851216228,empty,2,"Гагаринская,Сибирская,Маршала Покрышкина","9,10,10","walk,walk,walk",Центральный,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Николая Сотникова, 15",5990000,71.9,empty,37.0,3,4,18,empty,empty,empty,empty,empty,empty,empty,82.97069,54.944818,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Аэропорт",6400000,37.2,6.2,18.5,2,14,17,empty,0,2024,brick,empty,empty,empty,82.9132546283109,55.0783588838795,empty,2,"Заельцовская,Сибирская,Гагаринская","6,6,7","transport,transport,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Аникина, 16",5150000,47.7,empty,25.0,1,9,26,empty,empty,empty,empty,empty,empty,empty,82.945106,54.964509,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Аэропорт",4550000,22.5,2.4,12.3,1,4,17,empty,0,2024,brick,empty,empty,empty,82.9132546283109,55.0783588838795,empty,2,"Заельцовская,Сибирская,Гагаринская","6,6,7","transport,transport,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Костычева, 74/1",7460000,69.0,empty,42.0,2,15,17,empty,empty,empty,empty,empty,empty,empty,82.877221,54.969651999999996,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Декоративный Питомник, 16/1",6500000,54.0,13.4,28.3,2,11,12,empty,1,2023,brick,empty,empty,empty,82.925415,55.111114,1,1,"Заельцовская,Гагаринская,Маршала Покрышкина","9,10,11","transport,transport,transport",Калининский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Заслонова, 13/6",6190000,51.0,empty,28.1,2,2,4,empty,empty,empty,empty,empty,empty,empty,83.030886,55.050184,empty,empty,,,,Дзержинский,empty,1
nsk,"Новосибирск, улица Михаила Перевозчикова, 4",25000000,64.8,4.9,46.2,2,8,8,empty,1,2023,monolithBrick,empty,empty,empty,82.909129,55.060642,empty,empty,"Заельцовская,Красный Проспект,Площадь Гарина-Михайловского","2,2,4","walk,transport,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Макаренко, 6",4500000,44.7,empty,30.7,2,4,5,empty,empty,empty,empty,empty,empty,empty,82.959048,55.096883,empty,empty,,,,"Юбилейный,Калининский",empty,1
nsk,"Новосибирск, Красный проспект, 220стр",9500000,50.45,5.0,34.9,2,12,21,empty,1,2024,monolithBrick,empty,empty,empty,82.9117440675,55.068377747,empty,empty,"Заельцовская,Гагаринская,Сибирская","15,3,4","walk,transport,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Сакко и Ванцетти, 25",7350000,40.1,empty,11.6,1,4,17,empty,empty,empty,empty,empty,empty,empty,82.936716,55.013116,empty,empty,,,,Октябрьский,empty,1
nsk,"Новосибирск, Плановая улица",7950000,38.2,empty,empty,2,8,9,empty,0,2024,brick,empty,empty,empty,82.89442276455559,55.05607188605751,empty,2,"Заельцовская,Гагаринская,Красный Проспект","17,3,3","walk,transport,transport",Заельцовский,0,0
nsk,"Новосибирская обл., г. Новосибирск, ул. Дмитрия Шмонина, 10",4650000,50.7,empty,30.0,2,14,17,empty,empty,empty,empty,empty,empty,empty,82.960108,54.941141,empty,empty,,,,Кировский,empty,1
nsk,"Новосибирск, улица Лобачевского, 53/2",5190000,40.9,5.3,25.0,2,9,17,empty,0,2024,brick,empty,empty,empty,82.902715,55.122328,empty,empty,"Заельцовская,Гагаринская,Сибирская","13,16,16","transport,transport,transport",Заельцовский,0,0
